17:PROTX1@nn@RNAi@nsubj@influence@dobj@expression@nn@PROTX2	DLX4	Bax
26877:PROTX1@nsubj@improved@dobj@PROTX2	breast cancer	breast cancer
26878:PROTX1@nsubj@represents@dobj@%@prep_of@PROTX2	breast cancer	breast cancer
26887:PROTX1@nn@cells@nsubj@deficient@prep_for@PROTX2	breast cancer	BRCA1
26899:PROTX1@prep_of@expression@nsubj@correlated@prep_with@expression@amod@PROTX2	GSTP1	ErbB2
26915:PROTX1@nsubjpass@overexpressed@prep_in@subtypes@nn@PROTX2	PEA3	breast cancer
26916:PROTX1@nsubj@activator@prep_of@receptors@prep_in@cells@nn@PROTX2	PEA3	MDA-MB-231
26919:PROTX1@nsubj@promotes@dobj@growth@prep_of@metastasis@nn@PROTX2	Ang2	breast cancer
26920:PROTX1@nsubj@increases@prep_through@phosphorylation@amod@PROTX2	Ang2	ILK-induced
26932:PROTX1@nsubj@enhances@dobj@progression@nn@PROTX2	LIMK1	breast cancer
26968:PROTX1@nn@patients@nsubj@received@dobj@result@nn@PROTX2	breast cancer	DX
26982:PROTX1@prep_of@Up-regulation@nsubj@occurs@prep_through@binding@prep_of@PROTX2	EGFR	HOXB7
26983:PROTX1@prep_of@levels@nsubj@correlated@prep_with@PROTX2	HOXB7	breast cancer
26988:PROTX1@prep_of@interaction@prep_of@PROTX2	Dvl2	GABARAPL1
26989:PROTX1@nsubj@represses@dobj@signaling@partmod@stimulated@agent@PROTX2	GABARAPL1	Wnt1
26990:PROTX1@nsubj@mediates@dobj@degradation@prep_of@PROTX2	GABARAPL1	Dvl2
27011:PROTX1@nsubj@inhibits@dobj@interactions@nn@PROTX2	Sp1	Sp1-DNA
27039:PROTX1@nn@polymorphism@prep_between@association@prep_between@PROTX2	LEPR	breast cancer
27040:PROTX1@xsubj@estimate@dobj@risk@prep_of@polymorphism@nn@PROTX2	meta-analysis	LEPR
27046:PROTX1@nsubj@occur@prep_in@PROTX2	HER2	breast cancer
27054:PROTX1@amod@infections@prep_in@PROTX2	Epstein-Barr	breast cancer
27071:PROTX1@nsubj@dependent@prep_on@PROTX2	AR	FoxA1
27089:PROTX1@prep_of@Y322@nsubj@important@prep_for@activation@prep_of@PROTX2	AHR	AHR
27097:PROTX1@nsubj@homology@dobj@domains@nn@PROTX2	Src	SH2
27108:PROTX1@nsubj@protects@dobj@NOTCH@nn@PROTX2	TNC	MSI1-dependent
27110:PROTX1@nn@activity@nsubj@sensitizes@prep_to@inhibition@nn@PROTX2	CDK1	PARP
27118:PROTX1@prep_of@knockdown@nsubj@reverses@dobj@ability@prep_of@PROTX2	Eya2	Six1
27119:PROTX1@nn@interaction@prep_in@PROTX2	Six1-Eya	breast cancer
27125:PROTX1@nsubjpass@expressed@prep_in@%@prep_of@tumors@nn@PROTX2	NQO1	breast
27127:PROTX1@nsubj@appear@prep_in@PROTX2	NQO1	breast cancer
27154:PROTX1@prep_of@Methylation@nsubj@frequent@prep_in@tissue@nn@PROTX2	MSH6	breast
27158:PROTX1@prep_such_as@Tumors@xsubj@express@prep_to@)@nn@PROTX2	breast	GRP
27174:PROTX1@nn@tissue@prep_of@patient@nn@PROTX2	breast	breast cancer
27184:PROTX1@nsubj@regulates@dobj@activity@num@PROTX2	PAK1-Nck	D1
27188:PROTX1@nsubj@phosphorylates@dobj@PROTX2	JAK2	PAK1
27191:PROTX1@nn@mutant@nsubj@decreases@dobj@activity@amod@PROTX2	PAK1	PRL-induced
27205:PROTX1@nn@women@nsubj@experience@dobj@mortality@nn@PROTX2	AA	breast cancer
27217:PROTX1@prep_of@Inhibition@nsubj@blocked@dobj@effects@prep_of@depletion@amod@PROTX2	SRC	PTPN23
27218:PROTX1@prep_of@loss@nsubj@increase@dobj@activity@prep_of@PROTX2	PTPN23	SRC
27223:PROTX1@nsubjpass@overexpressed@prep_in@tissue@nn@PROTX2	IQGAP1	breast cancer
27224:PROTX1@prep_of@Knockdown@nsubj@decreases@dobj@expression@amod@PROTX2	IQGAP1	HER2
27240:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	MDM2	breast cancer
27241:PROTX1@nn@polymorphism@prep_between@association@prep_between@risk@nn@PROTX2	MDM2	breast cancer
27255:PROTX1@nsubj@enhance@dobj@proliferation@prep_of@cells@nn@PROTX2	PLR	breast cancer
27257:PROTX1@nn@)@nsubj@abolished@dobj@expression@nn@PROTX2	NAC	GCLC
27258:PROTX1@prep_of@target@appos@inhibition@nsubj@attenuated@dobj@expression@nn@PROTX2	PI3-K)	GCLC
27284:PROTX1@nn@)@nsubj@critical@prep_for@expression@amod@PROTX2	leptin	leptin-induced
27286:PROTX1@nsubj@induces@dobj@growth@prep_of@PROTX2	leptin	breast cancer
27290:PROTX1@prep_of@knockdown@nsubj@abrogated@dobj@activity@prep_of@promoter@nn@PROTX2	leptin	CSL
27294:PROTX1@nn@)@nsubj@occurs@prep_in@PROTX2	leptin	breast cancer
27310:PROTX1@nsubjpass@implicated@prep_in@independence@nn@PROTX2	RET	breast cancer
27318:PROTX1@nsubj@reduces@dobj@activity@prep_of@)@nn@PROTX2	PB	Rfc1
27321:PROTX1@nsubj@inhibited@dobj@uptake@nn@PROTX2	PB	Rfc1-mediated
27327:PROTX1@nsubj@interact@prep_with@PROTX2	EPHB6	EPHB2
27328:PROTX1@nsubj@interact@prep_with@receptor@appos@PROTX2	EPHB6	EPHA10
27329:PROTX1@prep_between@interaction@prep_between@PROTX2	EPHB6	EPHA2
27339:PROTX1@amod@therapy@prep_in@PROTX2	breast-conserving	breast cancer
27341:PROTX1@nn@)@nsubj@inhibits@dobj@proliferation@nn@PROTX2	Res	breast cancer
27348:PROTX1@prep_via@signaling@nsubj@stimulates@dobj@invasiveness@nn@PROTX2	GPR54	breast cancer
27349:PROTX1@nn@peptide@nsubj@binds@prep_to@PROTX2	Ac-TZ14011	CXCR4
27354:PROTX1@nn@shRNA@nsubj@suppressed@dobj@formation@nn@PROTX2	SNCG	breast cancer
27360:PROTX1@xsubj@stabilize@dobj@receptor@nn@PROTX2	c-Src	CXCR4-protein
27369:PROTX1@nsubj@regulate@dobj@growth@nn@PROTX2	AR	breast cancer
27375:PROTX1@amod@amplification@prep_in@PROTX2	c-myc	breast cancer
27376:PROTX1@nsubjpass@induced@prep_in@tumors@nn@PROTX2	PTK6	breast
27385:PROTX1@nsubj@suppresses@dobj@expression@prep_of@PROTX2	FOXP3	SATB1
27386:PROTX1@nsubj@target@prep_of@repression@amod@PROTX2	SATB1	FOXP3
27406:PROTX1@nsubjpass@involved@prep_in@demethylation@prep_of@PROTX2	MBD2	breast
27411:PROTX1@prep_between@different@prep_between@patients@nn@PROTX2	Ab	Ab
27412:PROTX1@prep_of@presence@nsubj@identifies@dobj@subtype@prep_of@PROTX2	Ab	HR
27441:PROTX1@prep_of@expression@nsubj@enhances@dobj@metastasis@prep_of@cells@nn@PROTX2	GCNT2	breast cancer
27449:PROTX1@nsubj@inhibits@dobj@)@appos@PROTX2	KLF4	step
27450:PROTX1@prep_of@Overexpression@nsubj@led@prep_in@expression@prep_of@PROTX2	KLF4	Snail
27457:PROTX1@nsubj@regulate@dobj@translation@amod@PROTX2	4E-BP1	cap-dependent
27475:PROTX1@nn@SNPs@nsubj@factors@prep_for@PROTX2	RAD51C	breast cancer
27484:PROTX1@prep_in@signatures@nsubj@treated@dobj@biopsies@nn@PROTX2	TNF-��	breast
27495:PROTX1@nn@line@prep_with@PROTX2	MDA-MB-231	DAC
27500:PROTX1@nsubj@gene@partmod@involved@prep_to@cancer@nn@PROTX2	BRCA1	breast
27503:PROTX1@nsubj@catalyses@dobj@PROTX2	PHGDH	step
27517:PROTX1@nsubjpass@emerging@prep_in@differentiation@nn@PROTX2	GATA-3	breast
27534:PROTX1@amod@elevation@prep_in@PROTX2	45.0-fold	CDK2
27539:PROTX1@nn@)@nsubj@increases@dobj@expression@amod@PROTX2	DES	EZH2
27542:PROTX1@prep_of@effect@dobj@examined@prep_on@expression@nn@PROTX2	DES	EZH2
27553:PROTX1@nsubj@blocked@dobj@expression@nn@PROTX2	p38	BAX
27569:PROTX1@nn@)@nsubj@antagonist@prep_for@number@prep_of@members@nn@PROTX2	PTX3	FGF
27571:PROTX1@nsubj@prevents@dobj@binding@prep_of@PROTX2	PTX3	FGF8b
27572:PROTX1@nsubj@inhibits@dobj@proliferation@amod@PROTX2	PTX3	FGF8b-driven
27577:PROTX1@prep_of@Overexpression@nsubj@inhibit@dobj@growth@prep_of@cells@nn@PROTX2	ZBTB4	breast cancer
27620:PROTX1@prep_of@Silencing@nsubj@reduced@dobj@proliferation@amod@PROTX2	NRD1	breast-cancer-cell
27669:PROTX1@prep_of@effect@nsubjpass@associated@prep_with@regulation@nn@PROTX2	Akt3	Akt3-mediated
27696:PROTX1@prep_between@correlation@prep_between@correlation@prep_between@PROTX2	HMGA1	HMGA1
27719:PROTX1@prep_of@regulation@dobj@analyzed@prep_by@PROTX2	EPO	RT-PCR
27738:PROTX1@nn@inhibition@prep_of@PROTX2	HSF-1	Hsp27
27747:PROTX1@prep_of@%@nsubj@increased@dobj@expression@nn@PROTX2	ACCs	Myb
27753:PROTX1@prep_of@overexpression@nsubj@inhibits@dobj@formation@appos@growth@nn@PROTX2	hEx	agar
27762:PROTX1@nsubj@member@nsubj@binds@dobj@motif@amod@PROTX2	ELF5	purine-rich
27764:PROTX1@amod@gene@prep_of@PROTX2	ATM	breast cancer
27772:PROTX1@prep_of@Overexpression@nsubj@enabled@dobj@cells@nn@PROTX2	erbB2	breast
27776:PROTX1@nn@activation@prep_of@ErbB1@nn@PROTX2	SLO	EGFR
27780:PROTX1@prep_of@Knockdown@nsubj@ablated@dobj@effect@prep_of@PROTX2	EGFR	SLO
27807:PROTX1@prep_of@Downregulation@nsubj@reduces@dobj@resistance@prep_of@cells@nn@PROTX2	CD44	breast cancer
27826:PROTX1@nn@Asp312Asn@prep_of@association@nsubj@polymorphism@prep_with@PROTX2	XPD	breast cancer
27827:PROTX1@prep_of@variants@xsubj@studied@prep_with@susceptibility@nn@PROTX2	XPD	breast cancer
27864:PROTX1@nsubj@induces@dobj@transactivation@prep_of@PROTX2	PAR-1	PAR-2
27865:PROTX1@xsubj@induce@dobj@expression@nn@PROTX2	PAR-1/PAR-2	PAI-1
27869:PROTX1@prep_of@effects@dobj@improved@prep_on@methylation@nn@PROTX2	F-ara-A	PTEN
27877:PROTX1@nn@carcinoma@appos@)@prep_of@PROTX2	breast	LOH11CR2A
27881:PROTX1@nn@samples@nsubj@showed@prep_for@PROTX2	breast	LOH11CR2A
27889:PROTX1@nn@phosphorylation@nsubj@reduces@dobj@sensitivity@prep_of@cells@nn@PROTX2	HER2	HER2-overexpressing
27892:PROTX1@nn@phosphorylation@prep_of@PROTX2	GDF15-mediated	HER2
27894:PROTX1@prep_of@effects@dobj@determine@prep_on@signaling@nn@PROTX2	GDF15	HER2
27898:PROTX1@nn@phosphorylation@prep_of@PROTX2	GDF15-mediated	Src
27920:PROTX1@prep_of@antagonist@nsubj@exhibits@dobj@affinity@prep_for@PROTX2	Id1	Id1
27924:PROTX1@nn@downregulation@nsubj@predictor@prep_for@carcinoma@nn@PROTX2	PHLDA1	breast
27932:PROTX1@nsubj@decreased@dobj@expression@amod@PROTX2	Axin1	AXIN1
27936:PROTX1@num@variant@prep_between@association@prep_between@risk@nn@PROTX2	BARD1	breast cancer
27938:PROTX1@nsubj@controls@dobj@loop@prep_between@)@nn@PROTX2	Runx2	PIP
27939:PROTX1@nn@)@nsubj@polypeptide@partmod@expressed@agent@(BCa@nn@PROTX2	PIP	breast
27940:PROTX1@nsubj@interacts@prep_with@)@nn@PROTX2	Runx2	AR
27944:PROTX1@nn@activity@prep_due_to@loss@prep_of@PROTX2	AR	PIP
27945:PROTX1@nsubj@controls@dobj@loop@prep_between@PROTX2	Runx2	PIP
27948:PROTX1@nn@)@nsubj@important@prep_for@growth@prep_of@cells@nn@PROTX2	RYR3	breast cancer
27950:PROTX1@nsubjpass@genotyped@prep_in@cases@nn@PROTX2	SNP	breast cancer
27953:PROTX1@amod@receptor@nsubj@modulates@dobj@profile@prep_of@cells@nn@PROTX2	EphB6	breast
27959:PROTX1@nsubj@included@acomp@PROTX2	list	miR-26a
27965:PROTX1@prep_of@knockdown@nsubj@impaired@dobj@inhibition@amod@PROTX2	KLF4	ABL-induced
27971:PROTX1@prep_of@role@dobj@exclude@prep_in@predisposition@nn@PROTX2	RAD50	breast cancer
27983:PROTX1@nn@gene@nsubj@belongs@prep_to@family@amod@PROTX2	BLM	RecQ
27994:PROTX1@nn@prevention@nsubj@prevent@dobj@PROTX2	breast cancer	breast cancer
27999:PROTX1@nsubj@regulates@dobj@protein@nn@PROTX2	PDZK1	breast cancer
28006:PROTX1@nsubj@control@prep_in@models@nn@PROTX2	GCs	breast cancer
28037:PROTX1@prep_of@reactivation@nsubj@represents@dobj@PROTX2	Sox2	step
28042:PROTX1@nsubj@forms@prep_with@PROTX2	CHKA	EGFR
28044:PROTX1@nsubj@interacted@prep_with@domain@amod@PROTX2	CHKA	EGFR
28047:PROTX1@prep_of@knockdown@nsubj@reduced@dobj@proliferation@amod@PROTX2	CHKA	EGF-dependent
28048:PROTX1@amod@link@prep_between@PROTX2	c-Src-dependent	CHKA
28056:PROTX1@prep_of@association@dobj@describing@prep_with@disorder@amod@PROTX2	ACC	PTEN-gene
28067:PROTX1@prep_of@composed@prep_of@PROTX2	PgR	BCL2
28084:PROTX1@nsubj@promotes@prep_in@PROTX2	NEDD9	breast cancer
28085:PROTX1@prep_of@role@dobj@discern@prep_in@progression@nn@PROTX2	NEDD9	breast cancer
28096:PROTX1@nsubj@develop@prep_in@carriers@amod@PROTX2	breast cancer	BRCA1
28097:PROTX1@nn@factors@prep_of@PROTX2	breast cancer	breast cancer
28107:PROTX1@nsubj@activates@dobj@transcription@amod@PROTX2	PEA3	CXCR4
28110:PROTX1@nsubj@promoted@dobj@expression@amod@PROTX2	PEA3	CXCR4
28111:PROTX1@nsubj@bind@prep_to@promoter@nn@PROTX2	PEA3	CXCR4
28112:PROTX1@nn@siRNA@nsubj@attenuated@dobj@activity@amod@PROTX2	PEA3	CXCR4
28121:PROTX1@nn@SNP309@prep_between@association@prep_between@polymorphisms@nn@PROTX2	MDM2	TP53
28122:PROTX1@nn@polymorphism@prep_of@polymorphism@nn@PROTX2	TP53	MDM2
28133:PROTX1@prep_of@silencing@nsubj@enhanced@dobj@apoptosis@amod@PROTX2	MAP3K7	CPT-associated
28136:PROTX1@nsubj@encodes@dobj@kinase@amod@PROTX2	MAP3K7	TAK1
28139:PROTX1@nn@complex@prep_of@Formation@partmod@bound@prep_to@)@nn@PROTX2	dinitrosyl-diglutathionyl-iron	GSTP1-1
28140:PROTX1@amod@amount@prep_of@PROTX2	14-fold	GSTP1-1
28146:PROTX1@amod@domain@prep_of@PROTX2	mad	SMAD3
28156:PROTX1@nsubjpass@involved@prep_in@induction@prep_of@oncogene@amod@PROTX2	AP-1	c-myc
28172:PROTX1@prep_between@interplay@prep_between@PROTX2	TP53	FGFR2
28179:PROTX1@nsubj@suppressed@dobj@growth@prep_of@cells@nn@PROTX2	PME	breast cancer
28181:PROTX1@nsubj@have@dobj@potential@prep_for@prevention@prep_of@PROTX2	PME	breast cancer
28193:PROTX1@amod@thyroids@nsubj@exhibited@dobj@upregulation@prep_of@receptor@nn@PROTX2	PBF-Tg	TSH
28200:PROTX1@prep_of@profiling@nsubj@provides@prep_for@therapy@nn@PROTX2	breast cancer	breast cancer
28209:PROTX1@amod@gene@prep_in@PROTX2	BLID	breast cancer
28220:PROTX1@nsubj@enhances@dobj@polymerization@prep_via@PROTX2	JWA	p38
28224:PROTX1@prep_of@downregulation@nsubj@inhibited@prep_in@line@nn@PROTX2	TFPI	breast cancer
28237:PROTX1@nn@domain@prep_of@PROTX2	UCH	UCH-L5
28239:PROTX1@nn@)@nsubj@presents@dobj@PROTX2	breast cancer	breast cancer
28241:PROTX1@nn@silencing@nsubj@suppresses@dobj@properties@prep_of@cells@nn@PROTX2	MUC16	breast cancer
28261:PROTX1@nsubj@suppressed@dobj@proliferation@nn@PROTX2	ZNF668	breast cancer
28297:PROTX1@nn@R377W@nsubj@present@prep_with@PROTX2	FAN1	breast cancer
28309:PROTX1@nn@)@nsubj@regulator@prep_of@physiology@nn@PROTX2	ESR1	breast cancer
28313:PROTX1@nsubj@represses@dobj@expression@amod@PROTX2	FOXO3a	VEGF
28314:PROTX1@nn@microarrays@nsubj@revealed@dobj@correlation@prep_between@expression@nn@PROTX2	breast cancer	VEGF
28317:PROTX1@nsubj@represses@dobj@promoter@nn@PROTX2	FOXO3a	VEGF
28321:PROTX1@amod@protein@prep_in@MCF-7.@nn@PROTX2	FOXM1	breast cancer
28340:PROTX1@nsubj@kinase@amod@responsible@prep_for@activation@prep_of@PROTX2	ETK	AHR
28382:PROTX1@nn@type@prep_of@)@nsubj@member@prep_of@family@nn@PROTX2	TRPS1	GATA
28420:PROTX1@nn@)@nsubj@relevant@prep_to@therapy@amod@PROTX2	HR	PARP-inhibitor
28424:PROTX1@nsubjpass@associated@prep_with@expression@nn@PROTX2	MCT1	GLUT1
28425:PROTX1@prep_between@association@prep_between@PROTX2	MCT1	GLUT1
28428:PROTX1@nsubj@promotes@dobj@invasion@nn@PROTX2	NFAT	breast
28429:PROTX1@nsubj@regulates@dobj@induction@amod@PROTX2	NFAT	GPC6
28447:PROTX1@nn@depletion@nsubj@stabilized@dobj@PROTX2	TBP-1	Fra-1
28462:PROTX1@nsubj@regulates@dobj@phosphorylation@prep_of@PROTX2	SEPW1	Ser-33
28481:PROTX1@nsubj@promotes@dobj@metastasis@prep_of@modulators@amod@PROTX2	Twist1	Twist1
28483:PROTX1@nsubjpass@overexpressed@prep_in@%@prep_of@tumors@nn@PROTX2	MUC1	breast
28490:PROTX1@nn@)@prep_between@interaction@prep_between@PROTX2	CXCR4	CXCL12
28500:PROTX1@dep@contained@dobj@PROTX2	KL-6/MUC1	core
28502:PROTX1@prep_of@epitopes@nsubj@involve@dobj@PROTX2	KL-6/mAb	core
28524:PROTX1@dobj@adding@prep_to@PROTX2	HSPB8	list
28525:PROTX1@nsubj@contribute@prep_to@PROTX2	EZH2	breast cancer
28527:PROTX1@nsubj@PROTX0@prep_in@cells@nn@PROTX2	EZH2	breast cancer
28529:PROTX1@nsubj@promotes@dobj@progression@nn@PROTX2	EZH2	breast cancer
28534:PROTX1@prep_of@effect@dobj@synergize@prep_on@cells@nn@PROTX2	NaB	breast cancer
28537:PROTX1@prep_of@effect@dobj@improved@prep_on@line@nn@PROTX2	NaB	HER2-overexpressing
28539:PROTX1@amod@mutations@prep_in@PROTX2	Germ-line	BRCA1
28568:PROTX1@nsubj@inhibits@dobj@metastases@prep_of@cells@nn@PROTX2	GATA3	breast cancer
28570:PROTX1@prep_of@expression@nsubj@reduce@dobj@propensity@prep_of@)@nn@PROTX2	GATA3	MDA-MB-231
28575:PROTX1@prep_between@association@prep_between@expression@amod@PROTX2	LOX	GATA3
28577:PROTX1@prep_of@Expression@nsubj@inhibits@prep_through@inhibition@prep_of@PROTX2	GATA3	LOX
28581:PROTX1@nsubj@encodes@dobj@homolog@prep_of@PROTX2	ARID1A	SWI1
28585:PROTX1@nsubj@PROTX0@prep_in@PROTX2	ARID1A	breast cancer
28590:PROTX1@nn@activity@prep_in@lines@nn@PROTX2	Src	breast cancer
28609:PROTX1@nn@effects@prep_on@transactivation@nn@PROTX2	VIP	EGFR
28614:PROTX1@nn@amplification@nsubj@feature@prep_of@PROTX2	MDM2	breast cancer
28642:PROTX1@prep_in@Mutations@nsubj@lead@prep_to@cancer@nn@PROTX2	BRCA1	breast
28647:PROTX1@nsubj@induces@dobj@radiosensitization@prep_in@cells@nn@PROTX2	SM-164	breast cancer
28649:PROTX1@nsubj@disrupted@dobj@binding@prep_of@PROTX2	SM-164	XIAP
28655:PROTX1@amod@status@prep_of@PROTX2	HER2	breast cancer
28657:PROTX1@nsubj@modulates@dobj@proliferation@prep_in@cells@nn@PROTX2	FOXP1	breast cancer
28662:PROTX1@nsubj@elevated@prep_in@patients@nn@PROTX2	FOXP1	breast cancer
28663:PROTX1@nsubj@plays@dobj@role@prep_in@proliferation@prep_of@cells@nn@PROTX2	FOXP1	breast cancer
28673:PROTX1@nsubj@binds@prep_with@PROTX2	CARP-1	Cdc20
28676:PROTX1@dobj@prevents@prep_with@PROTX2	CARP-1	APC-2
28685:PROTX1@nsubj@expressed@dobj@)@amod@PROTX2	HeLa-SFCs	6.9-fold
28690:PROTX1@prep_of@Effects@nsubj@(@dobj@cells@nn@PROTX2	SDF-1-CXCR4	breast cancer
28693:PROTX1@prep_of@inhibition@nsubj@inhibitor@dobj@expression@nn@PROTX2	CXCR4	CDH1
28700:PROTX1@prep_of@silencing@nsubj@resulted@prep_in@expression@prep_of@PROTX2	JAK2	GREB1
28727:PROTX1@nn@activation@nsubj@contributes@prep_to@proliferation@nn@PROTX2	STAT3	breast cancer
28731:PROTX1@prep_of@role@dobj@clarify@prep_for@carcinogenesis@nn@PROTX2	NDRG1	breast cancer
28749:PROTX1@nn@)@nsubj@treatment@prep_for@PROTX2	NAC	breast cancer
28754:PROTX1@nn@)@nsubj@belongs@prep_to@family@amod@PROTX2	HER2	EGFR
28757:PROTX1@nsubj@suppressed@dobj@ability@prep_of@PROTX2	EGFR	HER2
28767:PROTX1@amod@gene@prep_of@Association@nsubj@polymorphisms@prep_with@PROTX2	CD40	breast cancer
28792:PROTX1@nsubj@essential@prep_for@expression@prep_of@PROTX2	Akt1	Btn1a1
28793:PROTX1@nsubjpass@implicated@prep_in@development@nn@PROTX2	Akt1	breast cancer
28801:PROTX1@nn@polymorphisms@nsubjpass@associated@prep_with@PROTX2	ICOS	breast cancer
28805:PROTX1@nsubj@cancer@prep_in@PROTX2	breast cancer	al
28817:PROTX1@prep_of@Application@nsubj@reversed@prep_to@protein@amod@PROTX2	Wnt3a	ABCB1
28828:PROTX1@prep_between@Association@prep_between@levels@num@PROTX2	LRRK2	4E-BP1
28836:PROTX1@prep_of@knockdown@nsubj@suppressed@dobj@degradation@num@PROTX2	LRRK2	4E-BP1
28841:PROTX1@nsubj@caused@dobj@activation@prep_of@MAPK@nn@PROTX2	CPO	p38
28844:PROTX1@nsubj@target@prep_for@PROTX2	NFIB	breast cancer
28845:PROTX1@nn@gene@prep_between@association@prep_between@PROTX2	NFIB	breast cancer
28858:PROTX1@prep_between@correlation@prep_between@PROTX2	MUC1	VEGF
28886:PROTX1@nn@lines@prep_in@interacted@prep_with@PROTX2	BRCA1-deficient	ErbB2
28898:PROTX1@prep_between@correlations@prep_between@PROTX2	ephA2	ephA4
28912:PROTX1@nsubj@%@amod@)@dep@PROTX2	HR	CI
28916:PROTX1@nn@screening@prep_with@)@nn@PROTX2	breast cancer	MRI
28918:PROTX1@nn@revealed@prep_between@PROTX2	HCs	HCs
28922:PROTX1@amod@gene@prep_in@response@prep_to@PROTX2	STAT3	OSM
28923:PROTX1@nsubj@necessary@prep_for@migration@nn@PROTX2	STAT3	breast cancer
28929:PROTX1@nsubj@mediator@prep_of@complex@prep_in@PROTX2	CCL14	breast cancer
28940:PROTX1@nsubj@gives@prep_to@forms@prep_of@PROTX2	breast	breast cancer
28947:PROTX1@prep_of@Inactivation@nsubj@reduces@prep_in@deficient@nn@PROTX2	Rac1	PTEN
28952:PROTX1@nsubj@activated@prep_in@deficient@nn@PROTX2	Rac1	PTEN
28954:PROTX1@prep_of@Inhibition@nsubj@had@dobj@effect@prep_on@levels@prep_of@PROTX2	Rac1	phosphor-HER2
28972:PROTX1@nn@induction@prep_of@PROTX2	NOTCH1	c-MYC
28973:PROTX1@nsubj@represses@prep_with@PROTX2	BRCA1	HDAC2
28981:PROTX1@nsubjpass@implicated@prep_in@response@prep_of@patients@prep_with@PROTX2	SNP	breast cancer
28988:PROTX1@nsubj@regulates@dobj@activities@prep_of@PROTX2	SIRT1	DNMT1
28989:PROTX1@nsubj@physically@prep_with@PROTX2	SIRT1	DNMT1
28993:PROTX1@prep_of@inhibition@nsubj@strengthens@dobj@effects@prep_of@PROTX2	SIRT1	DNMT1
28994:PROTX1@nn@deacetylation@prep_of@PROTX2	SIRT1-mediated	DNMT1
28998:PROTX1@prep_in@Thr160Thr@nsubj@modifies@dobj@risk@nn@PROTX2	SRD5A1	breast cancer
29009:PROTX1@amod@status@prep_in@PROTX2	HER2	breast cancer
29011:PROTX1@nsubj@)@prep_in@treatment@prep_of@PROTX2	ESR1	breast cancer
29013:PROTX1@nn@upregulation@nsubjpass@associated@prep_with@PROTX2	MYB	breast cancer
29038:PROTX1@prep_of@)@nsubj@accounts@prep_for@%@prep_of@PROTX2	breast	breast cancer
29041:PROTX1@nsubj@over-expressed@prep_in@PROTX2	CERT	breast cancer
29048:PROTX1@prep_of@roles@nsubj@identify@prep_with@PROTX2	COX-2	COX-2
29051:PROTX1@nsubjpass@tested@prep_with@)@nn@PROTX2	T-DM1	breast cancer
29053:PROTX1@nsubj@increases@dobj@capacity@prep_of@cells@nn@PROTX2	D1	MDA-MB-231
29055:PROTX1@prep_between@link@prep_between@PROTX2	CCND1	ID1
29070:PROTX1@prep_of@overexpression@xsubj@alter@prep_to@PROTX2	Pin1	SFN
29071:PROTX1@amod@phosphorylation@prep_of@)@nn@PROTX2	SFN-induced	Shc
29088:PROTX1@nsubj@target@prep_of@VPA@prep_in@cells@nn@PROTX2	HDAC2	breast cancer
29090:PROTX1@prep_of@Overexpression@nsubj@factor@prep_for@PROTX2	CD24	breast cancer
29097:PROTX1@nsubj@oncogene@nsubjpass@expressed@prep_on@cells@nn@PROTX2	Her2-Neu	breast cancer
29111:PROTX1@nn@lncRNA@nsubj@occupies@dobj@motif@amod@PROTX2	HOTAIR	GA-rich
29115:PROTX1@nsubj@augmented@prep_through@elements@nn@PROTX2	Trx-1	AP-1
29116:PROTX1@amod@association@prep_in@PROTX2	Trx-1	breast cancer
29134:PROTX1@nn@)@prep_of@association@nsubj@genotypes@prep_with@PROTX2	CAV1	breast cancer
29136:PROTX1@prep_of@genotypes@prep_of@association@dobj@evaluate@prep_with@PROTX2	CAV1	breast cancer
29138:PROTX1@nn@)@nsubj@subtype@prep_of@PROTX2	breast cancer	breast cancer
29147:PROTX1@prep_of@terminus@nsubj@)@prep_to@interaction@prep_with@PROTX2	Myb	core
29149:PROTX1@nsubj@controls@prep_in@PROTX2	Mel-18	breast cancer
29159:PROTX1@prep_of@studies@nsubj@correlated@dobj@expression@amod@PROTX2	breast cancer	CD44
29174:PROTX1@prep_between@associations@prep_between@variants@nn@PROTX2	CYP2A6	CYP3A5
29177:PROTX1@nsubj@)@dobj@silencing@prep_in@tumors@nn@PROTX2	ITGA9	breast
29205:PROTX1@prep_of@genotypes@prep_of@association@dobj@evaluate@prep_with@PROTX2	CRYAB	breast cancer
29208:PROTX1@prep_of@Up-regulation@nsubj@essential@prep_for@proliferation@prep_of@PROTX2	kin17	breast cancer
29209:PROTX1@nsubj@contributes@prep_to@PROTX2	kin17	breast
29212:PROTX1@nsubj@germline@prep_in@cases@nn@PROTX2	RAD51C	breast
29217:PROTX1@nn@protein@nsubj@displayed@prep_with@PROTX2	RAD51C-G153D	XRCC3
29220:PROTX1@nn@evaluation@prep_of@PROTX2	PET	breast cancer
29226:PROTX1@nsubj@confers@dobj@activities@amod@PROTX2	SET8	TWIST
29227:PROTX1@nsubjpass@associated@prep_with@PROTX2	SET8	TWIST
29240:PROTX1@prep_of@inhibition@nsubj@blocked@dobj@increase@amod@PROTX2	CRYAB	breast cancer
29243:PROTX1@prep_of@neutralization@nsubj@induced@dobj@levels@prep_of@expression@nn@PROTX2	VEGF	CRYAB
